,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,MW,HeavyAtomMolWt,LogP,MolMR,NumHDonors,NumHAcceptors,NumAtoms,AR,TPSA,RB,bioactivity_class
4354,CHEMBL4081753,c1ccc(CCN2CCN(CCCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,608.0,nM,480.6600000000002,444.37200000000036,4.493800000000004,143.9059999999998,0.0,6.0,36.0,4.0,50.08,11.0,inactive
4355,CHEMBL4091502,c1ccc(CCCN2CCN(CCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,692.1,nM,466.6330000000002,432.36100000000033,4.1037000000000035,139.28899999999987,0.0,6.0,35.0,4.0,50.08,10.0,inactive
4356,CHEMBL4063684,c1ccc(CCCN2CCN(CCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,1636.0,nM,480.6600000000002,444.37200000000036,4.493800000000004,143.9059999999998,0.0,6.0,36.0,4.0,50.08,11.0,inactive
4357,CHEMBL4083724,c1ccc(CCCN2CCN(CCCCn3nnnc3C(c3ccccc3)c3ccccc3)CC2)cc1,IC50,97.5,nM,494.6870000000002,456.3830000000004,4.883900000000005,148.52299999999974,0.0,6.0,37.0,4.0,50.08,12.0,active
4358,CHEMBL4101722,C(=C/c1ccccc1)\CN1CCN(CCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,IC50,940.0,nM,464.61700000000013,432.36100000000033,4.184300000000004,140.00199999999984,0.0,6.0,35.0,4.0,50.08,9.0,inactive
4359,CHEMBL4060900,C(=C/c1ccccc1)\CN1CCN(CCCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,IC50,2231.0,nM,478.6440000000001,444.37200000000036,4.574400000000004,144.6189999999998,0.0,6.0,36.0,4.0,50.08,10.0,inactive
4360,CHEMBL4082767,C(=C/c1ccccc1)\CN1CCN(CCCCn2nnnc2C(c2ccccc2)c2ccccc2)CC1,IC50,3640.0,nM,492.6710000000001,456.3830000000004,4.964500000000005,149.23599999999973,0.0,6.0,37.0,4.0,50.08,11.0,inactive
4361,CHEMBL3613151,O=C(NCCN1CCC(Cc2ccccc2)CC1)C(c1ccccc1)c1ccccc1,IC50,190.0,nM,412.5770000000001,380.3210000000002,4.889400000000005,127.04670000000003,1.0,2.0,31.0,3.0,32.34,8.0,inactive
4362,CHEMBL3613152,O=C(NCCN1CCC(Cc2ccccc2)CC1)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,IC50,630.0,nM,481.4670000000001,451.2270000000002,6.196200000000006,137.06669999999988,1.0,2.0,33.0,3.0,32.34,8.0,inactive
4363,CHEMBL288826,O=C(NCCCN1CCC(Cc2ccccc2)CC1)C(c1ccccc1)c1ccccc1,IC50,1070.0,nM,426.60400000000016,392.3320000000002,5.279500000000005,131.66369999999998,1.0,2.0,32.0,3.0,32.34,9.0,inactive
4364,CHEMBL3612830,O=C(NCCCN1CCC(Cc2ccccc2)CC1)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,IC50,1350.0,nM,495.49400000000014,463.23800000000017,6.586300000000007,141.68369999999985,1.0,2.0,34.0,3.0,32.34,9.0,inactive
4365,CHEMBL4073400,Fc1ccc(C(OCCN2CCC(Cc3ccccc3)CC2)c2ccc(F)cc2)cc1,IC50,6816.0,nM,421.5310000000001,392.29900000000015,6.025500000000006,119.90500000000004,0.0,2.0,31.0,3.0,12.47,8.0,inactive
4366,CHEMBL4094047,Fc1ccc(C(OCCN2CCN(c3ccccc3)CC2)c2ccc(F)cc2)cc1,IC50,10000.0,nM,408.49200000000013,382.2840000000001,4.893000000000004,115.69000000000004,0.0,3.0,30.0,3.0,15.71,7.0,inactive
4367,CHEMBL4064805,Fc1ccc(C(OCCN2CCN(c3ccccc3Cl)CC2)c2ccc(F)cc2)cc1,IC50,5600.0,nM,442.9370000000002,417.73700000000014,5.546400000000005,120.70000000000005,0.0,3.0,31.0,3.0,15.71,7.0,inactive
4368,CHEMBL4086279,Fc1ccc(C(OCCN2CCN(c3cccc(Cl)c3)CC2)c2ccc(F)cc2)cc1,IC50,2749.0,nM,442.9370000000002,417.7370000000002,5.546400000000005,120.70000000000005,0.0,3.0,31.0,3.0,15.71,7.0,inactive
4369,CHEMBL4091567,Fc1ccc(C(OCCN2CCN(c3ccc(Cl)cc3)CC2)c2ccc(F)cc2)cc1,IC50,1390.0,nM,442.9370000000002,417.7370000000002,5.546400000000005,120.70000000000005,0.0,3.0,31.0,3.0,15.71,7.0,inactive
4370,CHEMBL4063764,Fc1ccc(C(OCCN2CCN(c3cccc(Cl)c3Cl)CC2)c2ccc(F)cc2)cc1,IC50,3000.0,nM,477.38200000000023,453.1900000000002,6.199800000000006,125.71000000000004,0.0,3.0,32.0,3.0,15.71,7.0,inactive
4371,CHEMBL4083782,Fc1ccc(C(OCCN2CCN(c3ccc(Cl)cc3Cl)CC2)c2ccc(F)cc2)cc1,IC50,10000.0,nM,477.38200000000023,453.1900000000002,6.199800000000005,125.71000000000004,0.0,3.0,32.0,3.0,15.71,7.0,inactive
4372,CHEMBL4101780,Fc1ccc(C(OCCN2CCN(c3ccc(Cl)c(Cl)c3)CC2)c2ccc(F)cc2)cc1,IC50,4098.0,nM,477.38200000000023,453.19000000000017,6.199800000000006,125.71000000000004,0.0,3.0,32.0,3.0,15.71,7.0,inactive
4373,CHEMBL4082902,Fc1ccc(C(OCCN2CCN(c3ccccn3)CC2)c2ccc(F)cc2)cc1,IC50,989.5,nM,409.48000000000013,384.28000000000014,4.288000000000004,113.48500000000004,0.0,4.0,30.0,3.0,28.6,7.0,inactive
4374,CHEMBL4105112,Fc1ccc(C(OCCN2CCN(c3ncccn3)CC2)c2ccc(F)cc2)cc1,IC50,1704.0,nM,410.46800000000013,386.2760000000002,3.6830000000000025,111.28000000000003,0.0,5.0,30.0,3.0,41.49,7.0,inactive
