,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,AR,RB,bioactivity_class,bioactivity_class_encoded
5378,CHEMBL346178,CC(=O)N(C)C1(c2ccccc2)CCN(CCC[C@]2(c3ccc(Cl)c(Cl)c3)CCCN(C(=O)c3ccccc3)C2)CC1,Inhibition,150.0,%,606.6380000000001,7.417200000000009,0.0,3.0,3.0,8.0,inactive,1
5379,CHEMBL3608450,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2c1ccccc1)OCO4,Inhibition,150.0,%,415.4890000000002,4.7740000000000045,0.0,5.0,3.0,3.0,inactive,1
5380,CHEMBL3612693,O=S(=O)(NCCCN1c2ccccc2CCc2ccc(Cl)cc21)c1ccc(OC(F)(F)F)cc1,Inhibition,148.8575630973911,%,510.9650000000001,5.843900000000004,1.0,4.0,3.0,7.0,inactive,1
5381,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,Inhibition,114.0,%,314.86,4.528400000000004,0.0,2.0,2.0,4.0,inactive,1
5382,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,Inhibition,160.0,%,314.86,4.528400000000004,0.0,2.0,2.0,4.0,inactive,1
5383,CHEMBL3613642,CC(C)N1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc(C(F)(F)F)cc3[N+](=O)[O-])cc2)CC1,Inhibition,110.0,%,500.49900000000025,3.5806000000000022,1.0,6.0,2.0,6.0,inactive,1
5384,CHEMBL3622346,COc1cccc2c1C(NC[C@]1(c3ccccc3)CC[C@H](O)CC1)=NS2(=O)=O,Inhibition,118.0,%,400.50000000000017,2.606600000000001,2.0,5.0,2.0,4.0,inactive,1
5385,CHEMBL3622360,COc1cccc2c1C(NC[C@]1(c3ccccc3)CC[C@H](NC(=O)OC(C)C)CC1)=NS2(=O)=O,Inhibition,137.0,%,485.6060000000003,3.7489000000000026,2.0,6.0,2.0,6.0,inactive,1
5386,CHEMBL3740472,COCCCN1C[C@H]2[C@H](CNC(=O)c3nc(C(C)C)n4ccccc34)[C@H]2C1,Inhibition,150.0,%,370.4970000000001,2.4018,1.0,5.0,2.0,8.0,inactive,1
5387,CHEMBL3740472,COCCCN1C[C@H]2[C@H](CNC(=O)c3nc(C(C)C)n4ccccc34)[C@H]2C1,Inhibition,150.0,%,370.4970000000001,2.4018,1.0,5.0,2.0,8.0,inactive,1
5388,CHEMBL3741992,Cc1cc(Cl)c(OCCO)cc1NC(=O)C1=CNC(=O)C[C@H]1c1ccc(F)cc1,Inhibition,130.0,%,418.85200000000015,3.284720000000001,3.0,4.0,2.0,6.0,inactive,1
5389,CHEMBL3763166,O=C1Cc2cc(S(=O)(=O)NNc3ccc(Br)cc3)ccc2N1,Inhibition,150.0,%,382.239,2.2490999999999994,3.0,4.0,2.0,4.0,inactive,1
5390,CHEMBL3771118,COc1ncc(C)cc1CC[C@@](O)(CC(=O)O)C(=O)O,Inhibition,120.01089292180016,%,283.28,0.6216200000000001,3.0,5.0,1.0,7.0,inactive,1
5391,CHEMBL3775436,Cc1cccc(C)c1OCCOCCN[C@H](C)CO.Cl,Inhibition,124.5,%,303.82999999999987,2.0910400000000005,2.0,4.0,1.0,9.0,inactive,1
5392,CHEMBL3775769,Cc1cccc(C)c1OCCOCCN[C@@H](C)CO.Cl,Inhibition,116.2,%,303.82999999999987,2.0910400000000005,2.0,4.0,1.0,9.0,inactive,1
5393,CHEMBL3823832,Cc1sc2ccccc2c1[C@@H]1C=CN=CN1,Inhibition,178.0,%,228.32,3.396020000000002,1.0,3.0,2.0,1.0,active,0
5394,CHEMBL3936289,CN1CC[C@H]2CC(=O)[C@H](Cc3ccccc3)[C@H]3CCC[C@@H]1[C@H]23,Inhibition,150.0,%,297.44200000000006,3.554700000000002,0.0,2.0,1.0,2.0,inactive,1
5395,CHEMBL3883366,Cc1ccccc1/C=C/C(=O)N[C@@H](C)CO,Inhibition,114.8,%,219.284,1.50522,2.0,2.0,1.0,4.0,inactive,1
5396,CHEMBL3884786,CCC(CO)NC(=O)/C=C/c1ccc(Cl)cc1,Inhibition,129.5,%,253.729,2.2403000000000004,2.0,2.0,1.0,5.0,inactive,1
5397,CHEMBL3883564,CC(O)CNC(=O)/C=C/c1ccc(Cl)cc1,Inhibition,116.0,%,239.702,1.8502000000000005,2.0,2.0,1.0,4.0,inactive,1
5398,CHEMBL4083533,CCCCCCCCCCCCNc1nc(C)cc(NCCN(C)C)n1,Inhibition,205.0,%,363.5940000000001,5.091320000000004,2.0,5.0,1.0,16.0,active,0
5399,CHEMBL3612940,CCNc1cc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)NC)C[C@H]12,Inhibition,80.0,%,471.9700000000002,2.0066,4.0,8.0,3.0,4.0,inactive,1
5400,CHEMBL4071867,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC)nc(C#Cc4ccc(Cl)s4)cc31)[C@H](O)[C@@H]2O,Inhibition,103.23889295552092,%,457.94300000000015,1.6164999999999996,4.0,8.0,3.0,3.0,inactive,1
5401,CHEMBL4081828,CNc1nc(C#Cc2ccc(Cl)s2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(C(=O)NCCN)C[C@H]12,Inhibition,90.74257668840494,%,487.9730000000002,0.3403999999999999,5.0,10.0,3.0,5.0,inactive,1
